task start end duration memory size
1.9943 1493277222625 1493277280521 57896 128 100
1.9238 1493277259661 1493277317622 57961 128 100
1.994 1493277250670 1493277362140 111470 128 100
1.1554 1493277249459 1493277349900 100441 128 100
2.205 1493277223886 1493277278743 54857 128 100
1.517 1493277255875 1493277327255 71380 128 100
0.9705 1493277507578 1493277584616 77038 128 100
1.4205 1493277260238 1493277315979 55741 128 100
1.1535 1493277268454 1493277496354 227900 128 100
1.8647 1493277282918 1493277321999 39081 128 100
1.5221 1493277276780 1493277340579 63799 128 100
1.2672 1493277397269 1493277516147 118878 128 100
1.9671 1493277281367 1493277371287 89920 128 100
1.196 1493277280954 1493277488779 207825 128 100
1.2773 1493277280980 1493277366697 85717 128 100
1.8593 1493277222679 1493277247359 24680 128 100
0.9847 1493277283697 1493277323597 39900 128 100
1.6032 1493277277218 1493277314858 37640 128 100
0.9225 1493277282471 1493277366990 84519 128 100
1.1382 1493241918299 1493241989859 71560 128 100
2.3611 1493277288938 1493277379917 90979 128 100
1.2872 1493277288863 1493277324782 35919 128 100
1.2925 1493277291542 1493277320644 29102 128 100
1.9698 1493277290378 1493277342938 52560 128 100
1.8999 1493277303682 1493277347761 44079 128 100
1.8584 1493277665916 1493277766665 100749 128 100
1.6083 1493277223832 1493277243542 19710 128 100
1.2587 1493277435820 1493277511417 75597 128 100
1.8212 1493277294223 1493277329003 34780 128 100
1.9668 1493277296282 1493277323157 26875 128 100
1.2585 1493277546690 1493277657725 111035 128 100
1.9245 1493277316438 1493277529998 213560 128 100
1.9697 1493277299377 1493277324003 24626 128 100
1.9785 1493277314422 1493277345519 31097 128 100
1.0271 1493277437662 1493277553305 115643 128 100
1.8647 1493277315364 1493277372464 57100 128 100
1.6486 1493277318161 1493277437581 119420 128 100
1.4507 1507196046715 1507196137819 91104 128 200
1.0753 1507195633377 1507195798280 164903 128 200
1.245 1507196049080 1507196114239 65159 128 200
1.2781 1507196052816 1507196094740 41924 128 200
1.4514 1507196048534 1507196102033 53499 128 200
1.2713 1507196053038 1507196093818 40780 128 200
1.9465 1507196056775 1507196111393 54618 128 200
1.2924 1507195580763 1507195626565 45802 128 200
1.2796 1507196060226 1507196124509 64283 128 200
0.9581 1507195656073 1507195690112 34039 128 200
1.3907 1507195655542 1507195686606 31064 128 200
1.3016 1507196071684 1507196151027 79343 128 200
1.2846 1507196065424 1507196128587 63163 128 200
1.244 1507196068214 1507196145084 76870 128 200
1.292 1507196074376 1507196117568 43192 128 200
1.4503 1507195655457 1507195684625 29168 128 200
1.8528 1507195662398 1507195791116 128718 128 200
1.4522 1507195658838 1507195696465 37627 128 200
1.0651 1507195669778 1507195827939 158161 128 200
1.9698 1507195666935 1507195818903 151968 128 200
0.841 1507195331429 1507195508137 176708 128 200
0.9734 1507195672621 1507195755799 83178 128 200
0.9769 1507196091297 1507196156565 65268 128 200
1.3911 1507196094098 1507196139622 45524 128 200
1.2833 1507196095046 1507196182408 87362 128 200
1.8624 1507196086714 1507196120486 33772 128 200
1.0142 1507196084876 1507196133644 48768 128 200
1.3911 1507195682526 1507195718137 35611 128 200
1.8835 1507196095016 1507196148822 53806 128 200
1.2902 1507195687062 1507195727829 40767 128 200
1.9471 1507196007734 1507196046815 39081 128 200
1.3936 1507195699994 1507195730219 30225 128 200
0.9859 1507195695185 1507195744545 49360 128 200
