task start end duration memory size
14.0958 1494287660069 1494287688623 28554 128 90
15.0979 1494287911114 1494287937649 26535 128 90
14.0521 1494287731651 1494287758689 27038 128 90
14.6523 1494287743398 1494287770528 27130 128 90
14.8407 1494287922139 1494287948325 26186 128 90
13.8975 1494287733601 1494287760801 27200 128 90
14.4503 1494287836621 1494287864092 27471 128 90
13.952 1494287879727 1494287907647 27920 128 90
14.6728 1494287838314 1494287865289 26975 128 90
13.8165 1494287647830 1494287677504 29674 128 90
14.3809 1494287827413 1494287854222 26809 128 90
13.3261 1494287806458 1494287836056 29598 128 90
14.3826 1494287826518 1494287853105 26587 128 90
14.9579 1494287910145 1494287937259 27114 128 90
14.5941 1494287898506 1494287925147 26641 128 90
12.6817 1494287787125 1494287817113 29988 128 90
14.6329 1494287846908 1494287874526 27618 128 90
15.691 1494287929970 1494287954811 24841 128 90
13.6141 1494287867194 1494287894706 27512 128 90
13.3783 1494287661019 1494287689117 28098 128 90
13.7999 1494287858266 1494287886052 27786 128 90
13.266 1494287869538 1494287897826 28288 128 90
13.9732 1494287828109 1494287856163 28054 128 90
14.0252 1494287763552 1494287790688 27136 128 90
13.2877 1494287807915 1494287838122 30207 128 90
15.0139 1494287816892 1494287844931 28039 128 90
12.5182 1494287797332 1494287827501 30169 128 90
13.1429 1494287868484 1494287896390 27906 128 90
12.4298 1494287784198 1494287814506 30308 128 90
13.5879 1494287754216 1494287782117 27901 128 90
14.3696 1494287742369 1494287769408 27039 128 90
14.8004 1494287701571 1494287728088 26517 128 90
13.5228 1494287764530 1494287792399 27869 128 90
13.5239 1494287818341 1494287846952 28611 128 90
13.5535 1494287817353 1494287846097 28744 128 90
14.2267 1494287849546 1494287876202 26656 128 90
14.9491 1494287888779 1494287916624 27845 128 90
15.0113 1494287919653 1494287945432 25779 128 90
14.8236 1494287887418 1494287915000 27582 128 90
14.1349 1494287878621 1494287906295 27674 128 90
12.5959 1494287796201 1494287826602 30401 128 90
12.3437 1494287785417 1494287815617 30200 128 90
14.7052 1494287909155 1494287936122 26967 128 90
14.9762 1494287920792 1494287947538 26746 128 90
14.4532 1494288021721 1494288048729 27008 128 100
12.8928 1494288190547 1494288220204 29657 128 100
14.0556 1494288225567 1494288255103 29536 128 100
11.9797 1494287960967 1494287991309 30342 128 100
15.2508 1494288247775 1494288273233 25458 128 100
14.7644 1494288084667 1494288111256 26589 128 100
14.1967 1494288033740 1494288060227 26487 128 100
14.5448 1494288022731 1494288049100 26369 128 100
14.5161 1494287948947 1494287976694 27747 128 100
12.9119 1494287960365 1494287989090 28725 128 100
14.6679 1494288043631 1494288069995 26364 128 100
14.4994 1494288043865 1494288071537 27672 128 100
13.6591 1494288063765 1494288093017 29252 128 100
13.9913 1494287982170 1494288011200 29030 128 100
15.575 1494288246176 1494288272093 25917 128 100
14.4332 1494288220998 1494288252394 31396 128 100
15.1331 1494288013631 1494288040343 26712 128 100
14.968 1494287949825 1494287976788 26963 128 100
14.4663 1494288052455 1494288079666 27211 128 100
13.6996 1494288074519 1494288102209 27690 128 100
13.2391 1494287971632 1494288002211 30579 128 100
14.6985 1494287949892 1494287977650 27758 128 100
14.5061 1494288073482 1494288100560 27078 128 100
14.3167 1494288032639 1494288059232 26593 128 100
15.5352 1494288158720 1494288184315 25595 128 100
14.1911 1494287993205 1494288020710 27505 128 100
13.7633 1494287983072 1494288011726 28654 128 100
13.9147 1494288062652 1494288089736 27084 128 100
14.3816 1494288003321 1494288030263 26942 128 100
15.3303 1494287951821 1494287979091 27270 128 100
14.4718 1494288086020 1494288113520 27500 128 100
13.9323 1494287970416 1494288000795 30379 128 100
14.5764 1494288023618 1494288049729 26111 128 100
13.9243 1494288096359 1494288122818 26459 128 100
14.5946 1494288031678 1494288058046 26368 128 100
13.2293 1494288064866 1494288093895 29029 128 100
14.3687 1494288011893 1494288039496 27603 128 100
14.8515 1494288105204 1494288131995 26791 128 100
14.7817 1494288001600 1494288028324 26724 128 100
14.8061 1494288236849 1494288264805 27956 128 100
14.7155 1494288145711 1494288172794 27083 128 100
14.4793 1494288117399 1494288144136 26737 128 100
15.0238 1494287983072 1494288011963 28891 128 100
13.632 1494288214887 1494288245532 30645 128 100
13.3784 1494287972784 1494288004200 31416 128 100
12.336 1494287959292 1494287988608 29316 128 100
14.0762 1494288093757 1494288120914 27157 128 100
13.9517 1494288053655 1494288080565 26910 128 100
14.2851 1494288075813 1494288103423 27610 128 100
13.4476 1494287971856 1494288003431 31575 128 100
14.0013 1494288002620 1494288030233 27613 128 100
13.6312 1494288137184 1494288165552 28368 128 100
14.8531 1494288083425 1494288110492 27067 128 100
15.2173 1494287972347 1494287998468 26121 128 100
15.0386 1494287950159 1494287980084 29925 128 100
15.1254 1494288012817 1494288040095 27278 128 100
11.6375 1494287959514 1494287990073 30559 128 100
13.0265 1494287949267 1494287978000 28733 128 100
14.1585 1494287992763 1494288020846 28083 128 100
14.6373 1494288233121 1494288260574 27453 128 100
15.3213 1494287991660 1494288018031 26371 128 100
12.8771 1494288166887 1494288196994 30107 128 100
14.3731 1494288147265 1494288174837 27572 128 100
14.2624 1494288211822 1494288241790 29968 128 100
15.1106 1494288138143 1494288163194 25051 128 100
13.6682 1494288127616 1494288154714 27098 128 100
12.515 1494288201758 1494288232099 30341 128 100
14.381 1494287981016 1494288010628 29612 128 100
13.6497 1494288135388 1494288163354 27966 128 100
14.2357 1494288116164 1494288143408 27244 128 100
14.053 1494288156393 1494288184703 28310 128 100
12.3146 1494287960882 1494287992301 31419 128 100
13.9476 1494288095151 1494288122501 27350 128 100
12.6404 1494288178822 1494288209815 30993 128 100
14.6275 1494287961869 1494287988567 26698 128 100
12.6649 1494288169440 1494288200625 31185 128 100
14.6088 1494288235575 1494288262399 26824 128 100
12.6501 1494288189811 1494288221255 31444 128 100
14.6656 1494288041877 1494288069499 27622 128 100
13.8749 1494287981574 1494288009481 27907 128 100
13.5304 1494288189248 1494288218907 29659 128 100
14.1489 1494288126531 1494288153496 26965 128 100
14.2344 1494287991588 1494288018833 27245 128 100
14.3428 1494288106291 1494288133333 27042 128 100
13.6899 1494288148461 1494288176736 28275 128 100
15.2292 1494288240747 1494288266564 25817 128 100
14.821 1494288226867 1494288256703 29836 128 100
13.227 1494288157542 1494288186519 28977 128 100
14.0648 1494288114331 1494288141742 27411 128 100
14.0108 1494288054585 1494288081801 27216 128 100
13.9479 1494288124693 1494288151893 27200 128 100
12.6765 1494288180188 1494288211354 31166 128 100
12.6201 1494288200381 1494288231752 31371 128 100
12.4136 1494287970607 1494288001038 30431 128 100
15.6187 1494287982878 1494288009009 26131 128 100
13.2677 1494288168129 1494288197654 29525 128 100
13.2342 1494288177758 1494288207946 30188 128 100
14.7032 1494288104139 1494288131702 27563 128 100
12.5533 1494288202236 1494288232917 30681 128 100
13.3013 1494288216293 1494288246622 30329 128 100
2.9257 1494286140981 1494286276168 135187 256 10
13.6884 1494286144443 1494286171727 27284 256 10
14.6134 1494286166994 1494286193668 26674 256 10
15.3908 1494286164898 1494286191678 26780 256 10
14.4416 1494286155504 1494286181935 26431 256 10
14.1013 1494286146519 1494286173169 26650 256 10
14.1269 1494286146984 1494286174000 27016 256 10
14.7747 1494286154496 1494286180571 26075 256 10
14.6049 1494286166121 1494286192822 26701 256 10
14.6725 1494286156598 1494286182779 26181 256 10
12.5116 1494313151542 1494313182915 31373 256 20
12.4728 1494313120811 1494313150451 29640 256 20
13.0876 1494313152430 1494313182911 30481 256 20
2.7518 1494313140535 1494313288309 147774 256 20
12.4456 1494313150537 1494313181437 30900 256 20
2.7067 1494313151611 1494313296012 144401 256 20
12.4244 1494313142600 1494313173757 31157 256 20
11.6011 1494313131108 1494313162853 31745 256 20
13.1902 1494313162378 1494313192205 29827 256 20
12.6937 1494313140832 1494313172525 31693 256 20
12.442 1494313141779 1494313173223 31444 256 20
13.0325 1494313110513 1494313139111 28598 256 20
13.1912 1494313163517 1494313193441 29924 256 20
11.9464 1494313121845 1494313153048 31203 256 20
12.9258 1494313160918 1494313191742 30824 256 20
13.2626 1494313109121 1494313138209 29088 256 20
12.6554 1494313119752 1494313148230 28478 256 20
11.9118 1494313130010 1494313162779 32769 256 20
13.0405 1494313109106 1494313138355 29249 256 20
12.3706 1494313132047 1494313163835 31788 256 20
15.0968 1494286422970 1494286448712 25742 256 30
2.7793 1494286419507 1494286558803 139296 256 30
15.0874 1494286433556 1494286459777 26221 256 30
