date,provider,memory,lifetime
"2017-10-07T21:15:13.103902148Z","bluemix","512",5.348002198
"2018-01-06T16:05:20.057856612Z","google","512",240018.513118242
"2018-03-05T15:27:16.267736659Z","bluemix","128",1494.966995854
"2017-11-22T11:00:12.611289836Z","bluemix","512",305.900088071
"2018-02-26T07:15:33.911882662Z","bluemix","256",2105.426723134
"2018-01-25T07:47:31.389073999Z","bluemix","128",80723.720507621
"2018-01-22T10:45:26.058417335Z","google","1024",7511.747773231
"2018-03-06T22:37:15.646308654Z","bluemix","128",601.82362234
"2017-10-14T15:26:31.310120129Z","google","256",326.901977742
"2017-11-27T13:18:53.314771907Z","google","128",17743.084009869
"2017-11-23T08:10:12.232539748Z","bluemix","512",5.170683291
"2017-10-30T12:05:14.116157049Z","bluemix","512",5.146686899
"2018-02-27T05:20:34.107512111Z","bluemix","256",8104.116248996
"2018-02-08T05:15:42.150596167Z","bluemix","256",84603.502129024
"2018-03-06T06:52:24.956282419Z","bluemix","128",5.391418756
"2017-11-22T11:20:11.530599051Z","bluemix","512",5.3041787320000005
"2017-12-02T16:32:36.898787432Z","bluemix","128",2406.814249721
"2017-12-11T18:01:25.678724293Z","google","256",83420.541786107
"2018-02-28T09:06:10.338466617Z","bluemix","256",29.976765358
"2017-09-26T20:13:40.817286755Z","google","128",7839.894337632
"2018-02-07T22:00:17.368379551Z","bluemix","512",6.064244194
"2018-01-20T05:26:33.288092662Z","google","256",82226.43301822
"2018-02-12T09:25:13.551207554Z","bluemix","512",5.105142899
"2018-03-07T06:05:13.334883205Z","bluemix","512",5.9809003480000005
"2018-02-26T18:15:47.073367298Z","bluemix","512",36.13944056
"2017-10-24T17:12:44.671860015Z","bluemix","128",15311.596149421
"2017-10-13T17:30:12.416841796Z","bluemix","512",4205.165557348
"2017-12-11T10:02:35.062536994Z","bluemix","128",7.368694221
"2018-01-29T03:57:34.351181142Z","bluemix","128",5.381706316
"2017-11-12T06:25:16.79615264Z","bluemix","512",8.723054012
"2018-02-08T19:15:13.816246837Z","bluemix","512",5.483858876
"2018-01-26T14:22:33.093749555Z","bluemix","128",5.612488803
"2017-11-11T00:00:12.888190106Z","bluemix","512",5.126719947
"2018-02-26T02:01:10.457294715Z","bluemix","256",29.7770263
"2018-02-26T16:16:23.7340198Z","bluemix","256",21.30956305
"2018-01-14T03:13:27.18115894Z","google","128",320.053507539
"2017-11-12T10:30:26.237779918Z","google","1024",286211.56854036
"2018-02-16T04:10:12.548186675Z","bluemix","512",136206.846377898
"2017-09-20T17:53:11.550927532Z","google","128",4.842441062
"2017-11-29T14:25:15.776492701Z","bluemix","512",8.681821582
"2017-12-06T16:10:11.136379932Z","bluemix","512",52502.655356252
"2017-12-24T00:55:22.836121307Z","google","1024",301072.35243073
"2018-03-07T03:55:55.220247148Z","bluemix","256",26.326093086
"2017-11-22T08:35:13.767607401Z","bluemix","512",5.104072316
"2018-03-06T12:02:21.046298339Z","bluemix","128",2979.685972861
"2017-11-11T07:15:12.511916446Z","bluemix","512",5.119944923
"2017-09-27T03:34:43.881567639Z","google","512",4.700302355
"2017-10-20T17:33:53.611341658Z","google","128",1246.165906346
"2018-03-06T19:17:33.141510452Z","bluemix","128",5.508796251
"2018-02-28T06:32:59.005152749Z","bluemix","128",18.902445664
"2018-02-24T05:05:31.357023555Z","bluemix","256",5.181958901
"2017-09-21T09:19:48.908596098Z","google","512",4.88462108
"2017-10-31T11:02:29.332951465Z","aws","256",1824.039552205
"2017-11-28T10:26:05.750796025Z","aws","1024",10807.605170102
"2017-12-17T15:37:30.06045781Z","aws","256",22572.685948054
"2017-10-06T12:06:04.177414738Z","aws","1024",22207.957870702
"2018-02-28T04:27:33.202204281Z","aws","256",12027.496040923
"2018-02-13T06:12:10.019364383Z","aws","256",16909.270980725
"2017-12-20T20:33:27.717529265Z","aws","128",18569.411722534
"2017-11-21T01:32:33.165914685Z","aws","256",4225.794282643
"2018-02-01T06:13:19.242680863Z","aws","128",26842.066991211
"2018-01-20T23:15:32.579736868Z","aws","1536",13577.067469523
"2017-12-08T07:20:30.415352471Z","aws","1536",28350.3158173
"2018-01-31T02:43:21.936721889Z","aws","128",5149.129420693
"2017-11-20T10:32:30.306015359Z","aws","256",22521.440069522
"2018-02-26T10:35:19.065002534Z","aws","1536",26352.844773954
"2017-11-01T23:23:27.735954503Z","aws","128",22247.690802252
"2017-11-13T01:20:31.727146052Z","aws","1536",9586.900535198
"2018-02-28T15:22:57.63552987Z","aws","256",11272.894440619
"2018-02-22T15:17:12.085606934Z","aws","256",18616.323764728
"2018-01-18T01:45:41.714051254Z","aws","1536",21792.523779729
"2018-02-25T19:37:12.690632388Z","aws","256",22169.801077262
"2017-12-12T18:20:00.047642229Z","aws","512",28798.374228241
"2017-12-10T01:40:44.088433031Z","aws","1536",19195.185605824
"2017-11-27T04:39:42.809103726Z","aws","512",22520.94834514
"2017-11-01T03:21:00.382351801Z","aws","1024",25206.812813908
"2018-03-02T15:50:06.783108322Z","aws","1536",11399.49485363
"2017-12-07T17:21:50.23892739Z","aws","512",2747.725267477
"2018-03-05T19:30:19.772679Z","aws","1536",21761.119898222
"2017-11-19T04:06:05.855763157Z","aws","1024",16207.793075181
"2017-12-18T19:26:01.913491672Z","aws","1024",16661.110660884
"2017-12-17T01:35:41.134962667Z","aws","1536",12278.605206167
"2018-02-10T21:17:15.390610381Z","aws","256",28551.64012091
"2017-12-19T03:32:06.511289895Z","aws","256",29059.200274125
"2017-11-04T04:12:33.977524188Z","aws","256",4827.317214068
"2017-10-08T07:34:38.305989995Z","aws","512",3305.517506453
"2018-01-28T02:35:00.190912731Z","aws","1536",17059.911055716
"2018-02-23T09:20:07.983473334Z","aws","1536",14422.93525241
"2017-11-08T22:38:36.44884039Z","aws","128",26156.256454359
"2017-12-07T10:28:21.252954977Z","aws","128",26140.127858791
"2018-02-02T02:33:21.21417211Z","aws","128",22212.733670318
"2017-11-28T23:31:04.310689295Z","aws","1024",7207.441524412
"2018-02-28T12:11:30.352731387Z","aws","1024",14448.123424643
"2017-11-15T18:40:20.148062101Z","aws","1536",11984.635169676
"2018-02-17T18:22:14.911007059Z","aws","256",14694.292807099
"2017-11-29T15:30:45.914787163Z","aws","1536",11410.121119209
"2018-01-17T04:45:58.974939872Z","aws","1024",18509.607205878
"2018-02-22T12:25:10.50208661Z","aws","1536",16703.093331952
"2017-09-22T09:32:42.229619508Z","aws","256",6344.971439212
"2017-10-18T22:22:22.104398428Z","aws","256",27022.744594657
"2017-12-17T09:19:54.134576979Z","aws","512",16289.875234414
"2017-11-07T18:15:58.249446206Z","aws","1024",25203.67530327
"2017-09-30T21:27:26.66436292Z","aws","256",21919.82829924
"2018-01-25T20:48:22.983499953Z","aws","128",25241.097308925
"2017-09-26T00:15:31.193518129Z","aws","1536",9900.108424905
"2017-09-20T08:15:41.19357575Z","aws","1536",11103.897311725
"2017-09-26T04:17:17.475762044Z","aws","256",14119.138268955
"2017-10-05T08:49:55.929195882Z","aws","512",14419.130232195
"2017-09-24T16:45:58.893098923Z","aws","1024",18004.060795046
"2018-02-19T09:03:38.780405896Z","bluemix","128",38.22020469
"2018-02-27T12:45:13.912679071Z","bluemix","512",15907.033806249
"2017-11-18T00:26:41.091217624Z","google","256",332.45623146
